,peak_id,peak_name,height_metres,climbing_status
284,LNGK,Langchung Khang,6786,Unclimbed
285,PK04,Peak 4,6736,Unclimbed
286,NAM2,Nampa II,6585,Unclimbed
287,NAM3,Nampa III,6611,Unclimbed
288,NAMS,Nampa South,6130,Unclimbed
289,SOBI,Sobithongie,6652,Unclimbed
290,SHER,Shershon,6432,Unclimbed
291,SWAK,Swaksa Kang,6405,Unclimbed
292,TILJ,Tilje,6530,Unclimbed
293,TSAR,Tsartse,6343,Climbed
294,YAKA,Yakawa Kang,6482,Climbed
295,YAUP,Yaupa,6422,Climbed
296,TILK,Til Kang,6369,Climbed
297,YOKO,Yokopahar,6423,Unclimbed
298,SALW,Saldim West,6388,Climbed
299,SAMD,Samdo,6335,Climbed
300,PURK,Purkhung,6126,Climbed
301,DZAS,Dzasampatse,6295,Climbed
302,SWEL,Swelokhan,6180,Unclimbed
303,MUPK,Mustang Peak,6229,Climbed
304,JING,Jinjang,6111,Climbed
305,JOBO,Jobo Rinjang,6778,Climbed
306,KYAB,Kyabura,6294,Unclimbed
307,KUML,Kumlung,6355,Climbed
308,DGAR,Dhaulagari,6638,Unclimbed
309,LHAY,Lhayul Peak,6395,Unclimbed
310,MERR,Merra,6334,Climbed
311,PBUK,Pabuk Kang,6244,Unclimbed
312,YANK,Yanme Kang,6206,Climbed
313,DANS,Danphe Shail,6103,Climbed
314,GAN7,Ganesh VII,6350,Unclimbed
315,PHAR,Pharilapcha,6017,Climbed
316,THOR,Thorong Peak,6144,Climbed
317,CHKA,Chamar Kang,6060,Climbed
318,NUPK,Nupche Kang,6576,Climbed
319,PUCH,Punchen Himal,6049,Unclimbed
320,KAKU,Kang Kuru,6344,Climbed
321,AMPM,Amphu Middle,6202,Climbed
322,LUGU,Lugula,6899,Climbed
323,BHRS,Bhrikuti Shail,6361,Climbed
324,MYAG,Myagdi Matha,6273,Unclimbed
325,TOBS,Tobsar,6065,Climbed
326,DINS,Dingjung Ri,6196,Climbed
327,DUDH,Dudh Kundali,6045,Climbed
328,KAGA,Kanta Gaton,5910,Climbed
329,KAPT,Kaptang,5965,Climbed
330,ROMA,Roma,5407,Unclimbed
331,RIPI,Ripimo Shar,6647,Climbed
332,TSIS,Tsisima,6196,Climbed
333,TAWA,Tawa,6110,Climbed
334,URMA,Urkema,5890,Climbed
335,MPNW,Manapathi NW,6384,Climbed
336,LUNR,Lunag Ri,6895,Unclimbed
337,JASG,Jasemba Goth,6730,Climbed
338,GOJN,Gojung,6310,Climbed
339,NAN2,Nangamari II,6209,Climbed
340,DRAG,Dragmorpa Ri,6185,Climbed
341,SYKG,Syaokang,5929,Climbed
342,BIJO,Bijora Hiunchuli,6111,Unclimbed
343,CHUB,Chhuboche,5606,Climbed
344,LUNW,Lunag West,6492,Climbed
345,DOMO,Domo,7447,Climbed
346,LUN2,Lunag II,6812,Climbed
347,TRIA,Triangle Peak,6484,Climbed
348,KASI,Kasi Dalpha,6386,Unclimbed
349,NPHU,Narphu,5921,Climbed
350,POTA,Pota Himal North,6182,Climbed
351,PANN,Pangbuk North,6478,Climbed
352,MUST,Mustang Himal,6195,Climbed
353,MNSL,Mansail,6235,Climbed
354,CPHU,Chhochenphu Himal,6260,Unclimbed
355,TANK,Tankya I,6305,Unclimbed
356,GORK,Gorakh Khang,6254,Unclimbed
357,RAUN,Raungsiyar,6224,Climbed
358,LDAK,Langdak,6220,Climbed
359,TKRE,Takargo East,6152,Climbed
360,OMIT,Omitso Go,6332,Unclimbed
361,CBAM,Chhopa Bamare,6109,Climbed
362,YALW,Yalung Kang West,8077,Unclimbed
363,KANN,Kangchenjunga North,7938,Unclimbed
364,KBNE,Kangbachen East,7780,Unclimbed
365,HERZ,Herzog Peak,7555,Climbed
366,GANW,Gangapurna West,7140,Unclimbed
367,CHMR,Chamar,7161,Unclimbed
368,NGAP,Nepal Gap Peak,7007,Unclimbed
369,GAUS,Gaurishankar South,7010,Climbed
370,BURK,Burke Kang,6942,Climbed
371,HMLE,Himlung East,6932,Climbed
372,YNGS,Yangra Kangri South,6863,Unclimbed
373,NUPL,Nup La Kang,6861,Climbed
374,CHUM,Chumbu,6859,Unclimbed
375,PHUG,Phu Kang Go,6767,Climbed
376,GURA,Guras,6744,Unclimbed
377,THRK,Tharke Kang,6710,Climbed
378,HUGO,Hulang Go,6687,Unclimbed
379,SHNW,Shershon Northwest,6682,Climbed
380,AGLE,Agole East,6675,Unclimbed
381,ROLK,Rolwaling Kang,6664,Climbed
382,YARW,Yarwa,6644,Unclimbed
383,YANG,Yangri,6535,Unclimbed
384,LCHN,Lachama North,6628,Unclimbed
385,CHNG,Changdi,6623,Unclimbed
386,GOLD,Goldum Peak,6632,Unclimbed
387,THOC,Thoche Go,6602,Unclimbed
388,KCHS,Kangchung Shar,6063,Climbed
389,PHUN,Phu Kang North,6580,Unclimbed
390,PTHE,Pethangtse East,6572,Climbed
391,PHNG,Phungi,6524,Unclimbed
392,KNTE,Kanti Himal East,6516,Unclimbed
393,JARK,Jarkya,6473,Unclimbed
394,MARW,Mariyang West,6455,Unclimbed
395,MAYT,Mayonthang Kang,6449,Unclimbed
396,LNJU,Langju,6426,Climbed
397,JYAC,Jyachhung,6338,Unclimbed
398,GYLA,Gyala,6363,Unclimbed
399,DOLM,Dolma Khang,6332,Climbed
400,KAIP,Kaipuchonam,6329,Unclimbed
401,LDNG,Langdung,6326,Climbed
402,DZA2,Dzanye II,6318,Climbed
403,PAMA,Pama Himal,6300,Unclimbed
404,PERH,Peri Himal,6296,Unclimbed
405,TAKL,Takla Kang,6276,Unclimbed
406,KOGI,Kogi Khang North,6275,Unclimbed
407,ASAJ,Asajya Tuppa,6265,Unclimbed
408,KOJS,Kojichuwa South,6264,Unclimbed
409,PKAR,Pankar Himal,6264,Climbed
410,SAUL,Saula,6235,Unclimbed
411,YARA,Yala Chuli,6236,Unclimbed
412,RHIM,Rhimbu,6210,Unclimbed
413,SANC,Sanctuary Peak,6207,Unclimbed
414,LASA,Lasa,6189,Unclimbed
415,PERI,Peri,6174,Climbed
416,DWIJ,Dwijen Himal,6169,Unclimbed
417,JABR,Jabou Ri,6166,Climbed
418,BEDG,Beding Go,6125,Climbed
419,TAKN,Takphu North,6142,Climbed
420,BHUL,Bhulu Lhasa,6102,Climbed
421,LNAK,Lhonak,6070,Unclimbed
422,ROLM,Rolmi,6056,Climbed
423,ACHN,Aichyn,6055,Climbed
424,ARDN,Ardang,6034,Unclimbed
425,LUNG,Lungchhung,6043,Unclimbed
426,KHNG,Khung,6024,Unclimbed
427,CHND,Chandi Himal,6142,Unclimbed
428,KALI,Kali Himal,6985,Climbed
429,DHEC,Dhechyan Khang,6019,Climbed
430,EKRA,Ek Rate Danda,6213,Unclimbed
431,GHYN,Ghyun Himal I,6110,Unclimbed
432,GORH,Gorakh Himal,6198,Unclimbed
433,HONK,Hongku,6764,Climbed
434,KARK,Karko,6015,Unclimbed
435,KARS,Karsang Kang,6225,Climbed
436,KHAY,Khayang,6186,Unclimbed
437,GYLZ,Gyalzen Peak,6151,Climbed
438,LSAM,Lungsampa,6500,Climbed
439,MERS,Mera South,6064,Unclimbed
440,PASH,Pashuwo,6177,Unclimbed
441,SATO,Sat Peak,6164,Unclimbed
442,TSKP,Tso Karpo,6518,Unclimbed
443,SPH2,Sharphu II,6328,Climbed
444,SPH3,Sharphu III,6220,Unclimbed
445,SPH4,Sharphu IV,6172,Climbed
446,SPH5,Sharphu V,6158,Unclimbed
447,SPH6,Sharphu VI,6076,Unclimbed
448,MNSS,Mansail South,6248,Unclimbed
449,GDNG,Gave Ding,6581,Climbed
450,NGO3,Ngojumba Kang III,7681,Unclimbed
